Player Name,Type,Main Race,League,Offense,Defense,Versatility,Multitasking,Mechanics,Speed,Cheese Factor,Macro,Micro,Overall
Alisaunder,FSL,Z,B,20,20,,,,,,,,
Archnog,FSL,T,A,,,,,,,,,,
AxD,FSL,T,B,,,,,,,,,,
CYAN,FSL,P,A,,,,,,,,,,
Casper631,FSL,Z,A,,,,,,,,,,
ChienPwn,FSL,P,B,,,,,,,,,,
DB,FSL,P,B,,,,,,,,,,
DLSMizel,FSL,T,S,,,,,,,,,,
DarkMenace,FSL,Z,S,,,,,,,,,,
HurtnTime,FSL,T,S,,,,,,,,,,
Instability,FSL,P,S,,,,,,,,,,
Kriminal,FSL,T,S,,,,,,,,,,
Neutrophil,FSL,P,S,,,,,,,,,,
PanicSwitch,FSL,T,A,,,,,,,,,,
PlantQueen,FSL,Z,B,,,,,,,,,,
VeryCool,FSL,P,S,,,,,,,,,,
Warbunnies,FSL,P,A,,,,,,,,,,
Wheva,FSL,P,S,,,,,,,,,,
caliberC,FSL,T,A,,,,,,,,,,
chumly,FSL,T,A,,,,,,,,,,
dpoo,FSL,Z,A,,,,,,,,,,
fenrir,FSL,T,B,,,,,,,,,,
fluffy,FSL,T,B,,,,,,,,,,
freeden,FSL,R,S,,,,,,,,,,
freeedom,FSL,T,S,,,,,,,,,,
ghostchant,FSL,T,S,,,,,,,,,,
grey,FSL,Z,A,60,60,60,50,60,60,60,60,60,58.88888889
MightyAnt,FSL,P,A,,,,,,,,,,
TheArchaic,FSL,P,A,,,,,,,,,,
kittycatgamer,FSL,Z,B,,,,,,,,,,
littlereaper,FSL,P,A,,,,,,,,,,
migu3la,FSL,P,B,,,,,,,,,,
mrsuberxl,FSL,P,B,,,,,,,,,,
nooblord,FSL,P,A,,,,,,,,,,
regret,FSL,Z,A,,,,,,,,,,
rex,FSL,Z,A,,,,,,,,,,
ronan,FSL,T,B,,,,,,,,,,
sef,FSL,R,S,,,,,,,,,,
sirmalagant,FSL,P,S,,,,,,,,,,
stublu88,FSL,P,A,,,,,,,,,,
typhoonfusion,FSL,P,B,,,,,,,,,,
vales,FSL,T,S,,,,,,,,,,
HyperTurtle,FSL,R,A,,,,,,,,,,
LuckyTiger,FSL,P,B,,,,,,,,,,
jmpz,FSL,Z,S,,,,,,,,,,
